Restaurant ID;Restaurant Name;Menu URL;Rating;Address;Latitude;Longitude
JE58396;Yankee Ribs Concha Espina;https://www.just-eat.es/restaurants-yankee-ribs-concha-espinamadrid/menu;60.0;Avenida de Concha Espina, 12, 28036, Madrid;40.451664;-3.687165
JE58408;Kebab Camarena;https://www.just-eat.es/restaurants-pak-kebab-madrid-28047/menu;60.0;Calle Camarena, 105, 28047, Madrid;40.392338;-3.755429
JE58411;Casa Coppola;https://www.just-eat.es/restaurants-casa-coppola-madrid/menu;100.0;Calle de García de Paredes, 33, 28010, Madrid;40.43692;-3.69842
JE58418;La Marimorena;https://www.just-eat.es/restaurants-la-marimorena-madrid/menu;;Avenida del Ensanche de Vallecas, 120, 28051, Madrid;40.3602;-3.593323
JE58428;La Chanchullera;https://www.just-eat.es/restaurants-la-chanchullera-madrid/menu;;Calle de Meléndez Valdés, 62, 28015, Madrid;40.433254;-3.716181
JE58472;Starbucks Princesa 40;https://www.just-eat.es/restaurants-starbucks-princesa-40-madrid/menu;40.0;Calle de la Princesa, 40, 28008, Madrid;40.42945;-3.715189
JE58474;Yankee Ribs Kinépolis;https://www.just-eat.es/restaurants-yankee-ribs-kinepolis-28223/menu;60.0;Calle Edgar Neville, 1, 28223, Pozuelo de Alarcón;40.39404;-3.7966
JE58488;Restaurante Don Jose;https://www.just-eat.es/restaurants-restaurante-don-jose-madrid-28045/menu;;Calle de Jaime el Conquistador, 6, 28045, Madrid;40.398167;-3.69815
JE58528;Ramen Kagura Atocha;https://www.just-eat.es/restaurants-ramen-kagura-atocha-madrid/menu;80.0;Calle de José Antonio de Armona, 12, 28012, Madrid;40.405247;-3.697313
JE58563;Mini Tartas.Com;https://www.just-eat.es/restaurants-mini-tartas-madrid/menu;;Pasaje Canal de Suez, 3, 28042, Madrid;40.471813;-3.579528
JE58571;Zheng Sushi;https://www.just-eat.es/restaurants-zheng-sushi-madrid/menu;80.0;Calle de María Callas, 17, 28021, Madrid;40.353798;-3.686577
JE58577;Azura Bar;https://www.just-eat.es/restaurants-azura-bar-madrid/menu;;Calle del Duque de Alba, 12, 28012, Madrid;40.41175;-3.706581
JE58589;Pollo Hut;https://www.just-eat.es/restaurants-pollo-hut-madrid/menu;60.0;Avenida de la Peseta, 31, 28054, Madrid;40.36426;-3.76241
JE58621;Ranchburger;https://www.just-eat.es/restaurants-ranchburger-madrid/menu;80.0;Avenida de la Ciudad de Barcelona, 130, 28007, Madrid;40.40429;-3.681397
JE58639;Frailejones Pastelitos Andinos;https://www.just-eat.es/restaurants-frailejones-pastelitos-andinos-madrid/menu;80.0;Avenida del Camino de Santiago, 11, 28050, Madrid;40.497482;-3.674802
JE58648;HAVELI;https://www.just-eat.es/restaurants-haveli-madrid/menu;60.0;Calle de O'Donnell, 46, 28009, Madrid;40.421192;-3.673249
JE58680;Stars Rivas Futura;https://www.just-eat.es/restaurants-stars-futura-rivas-vaciamad/menu;40.0;Calle Profesores Fuster y Menéndez, 28521, Rivas-Vaciamadrid;40.338894;-3.529732
JE58695;Greens San Miguel;https://www.just-eat.es/restaurants-greens-san-miguel-madrid/menu;20.0;Calle de la Verdad & Calle Miguel Soriano, 28019, Madrid;40.392136;-3.717096
JE58699;Greens Plz Eliptica;https://www.just-eat.es/restaurants-greens-plz-eliptica-madrid/menu;60.0;Avenida Princesa Juana de Austria, 28026, Madrid;40.38381;-3.717757
JE58700;Greens General Pardiñas;https://www.just-eat.es/restaurants-greens-general-pardinas-madrid/menu;80.0;Calle del General Pardiñas, 23, 28001, Madrid;40.42642;-3.678685
JE58702;Greens Peñagrande;https://www.just-eat.es/restaurants-greens-penagrande-madrid/menu;60.0;Avenida de Monforte de Lemos, 184, 28035, Madrid;40.477013;-3.717254
JE58703;Greens Montecarmelo;https://www.just-eat.es/restaurants-greens-montecarmelo-madrid/menu;80.0;Calle del Monasterio de El Paular, 2, 28049, Madrid;40.50006;-3.714244
JE58763;Caprichos Y Tentaciones;https://www.just-eat.es/restaurants-caprichos-y-tentaciones-madrid/menu;;Calle de Arroyo de Fontarrón, 3, local 9, 28030, Madrid;40.404152;-3.651036
JE58764;T4 Bubble Tea;https://www.just-eat.es/restaurants-t4-bubble-tea-madrid/menu;80.0;Calle del 7 de Julio, 3, 28012, Madrid;40.415962;-3.707863
JE58771;MiniMarket Express 88;https://www.just-eat.es/restaurants-minimarket-express-88-madrid/menu;60.0;Calle de Bravo Murillo, 206, 28020, Madrid;40.456882;-3.701534
JE58776;Papi Chicken;https://www.just-eat.es/restaurants-papi-chicken-madrid/menu;80.0;Calle de Mota del Cuervo, 17, 28043, Madrid;40.46547;-3.631056
JE58791;Healthy Sándwich Vallecas;https://www.just-eat.es/restaurants-healthy-sandwich-vallecas-madrid/menu;80.0;Avenida de la Albufera, 153, 28038, Madrid;40.39255;-3.655788
JE58795;DonQy Vallecas;https://www.just-eat.es/restaurants-donqy---vallecas-madrid/menu;40.0;Avenida de la Albufera, 153, 28038, Madrid;40.39255;-3.655788
JE58804;Healthy Burrito Vallecas;https://www.just-eat.es/restaurants-healthy-burrito-vallecas-madrid/menu;60.0;Avenida de la Albufera, 153, 28038, Madrid;40.39255;-3.655788
JE58837;PadThaiWok Malasaña;https://www.just-eat.es/restaurants-padthaiwok-malasana-madrid/menu;60.0;Corredera Baja de San Pablo, 41, 28004, Madrid;40.423122;-3.703207
JE58926;Espiedo;https://www.just-eat.es/restaurants-espiedo-madrid-28004/menu;60.0;Calle de Augusto Figueroa, 24, 28004, Madrid;40.422077;-3.697688
